# VERSION 10104 -- Thu Aug 27 17:55:27 2009 UTC -- created by woosley on banzai.ucolick.org from file /data/woosley/banzai/u/woosley/cdef/fudgc#t8eq65
  grid    cell outer total mass        cell outer radius      cell outer velocity             cell density         cell temperature            cell pressure     cell specific energy    cell specific entropy    cell angular velocity               cell A_bar                 cell Y_e       stability   NETWORK                 neutrons                       H1                      He3                      He4                      C12                      N14                      O16                     Ne20                     Mg24                     Si28                      S32                     Ar36                     Ca40                     Ti44                     Cr48                     Fe52                     Fe54                     Ni56                     Fe56                     'Fe'
  20:    9.9999999999996709E+30   9.7874948199041560E+06   2.9580919405876870E+01   2.5095586103796048E+09   6.3962869168853247E+08   1.6564177592995758E+27   1.7607969020812124E+18   8.7779359472296792E-01   0.0000000000000000E+00   1.3742529641999333E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.6687637702217608E-11   4.9639768536583972E-01   0.0000000000000000E+00   4.9763403058237915E-01   5.9433204797946374E-03   2.4958682895950394E-05   4.8523919198080253E-09   1.7904071855177597E-15   4.2783926610677529E-23   2.1677388416298797E-32   2.3043531504583406E-43   3.2904476885675718E-56   3.2644858670011569E-70   0.0000000000000000E+00   2.0922892711030417E-87                      ---                      ---
  21:    1.0758873610036410E+31   1.0032984999977073E+07   3.0304042908202938E+01   2.5045800594128833E+09   6.3887268381980395E+08   1.6520147242370051E+27   1.7594865516503557E+18   8.7782417340354135E-01   0.0000000000000000E+00   1.3742526224399708E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.6300334492036631E-11   4.9639811988086036E-01   0.0000000000000000E+00   4.9763431722427204E-01   5.9426028550022764E-03   2.4955153030652224E-05   4.8505234163561940E-09   1.7894773293959066E-15   4.2752972988745032E-23   2.1657806252612599E-32   2.3017796921558885E-43   3.2862504927498221E-56   3.2605206358222962E-70   0.0000000000000000E+00   2.0901551831162569E-87                      ---                      ---
  22:    1.1525759183621215E+31   1.0269879937475644E+07   3.1002533766351952E+01   2.4997153441896591E+09   6.3813333888583744E+08   1.6477152225789916E+27   1.7582045017058511E+18   8.7785412542904018E-01   0.0000000000000000E+00   1.3742522861569471E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5920870843167974E-11   4.9639854743322920E-01   0.0000000000000000E+00   4.9763459926819481E-01   5.9418967387469971E-03   2.4951675206591050E-05   4.8486906899601283E-09   1.7885650082443840E-15   4.2722639716625039E-23   2.1638631205311725E-32   2.2992636435684022E-43   3.2821530192950293E-56   3.2566482255052788E-70   0.0000000000000000E+00   2.0880670760153747E-87                      ---                      ---
  23:    1.2313811497487103E+31   1.0502876766356327E+07   3.1690121817854585E+01   2.4948743850493007E+09   6.3739699458839476E+08   1.6434395238610194E+27   1.7569270774311375E+18   8.7788400303071679E-01   0.0000000000000000E+00   1.3742519494580678E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5542548230528967E-11   4.9639897551506129E-01   0.0000000000000000E+00   4.9763488165663566E-01   5.9411897572556292E-03   2.4948188632712117E-05   4.8468613880072584E-09   1.7876541242943089E-15   4.2692389842392703E-23   2.1619523062623496E-32   2.2967601447213476E-43   3.2780818122297066E-56   3.2527991775970468E-70   0.0000000000000000E+00   2.0859876268358239E-87                      ---                      ---
  24:    1.3137275361782613E+31   1.0736228202243278E+07   3.2379285903149480E+01   2.4899710552219944E+09   6.3665054465459073E+08   1.6391115954755556E+27   1.7556315268715384E+18   8.7791433928234819E-01   0.0000000000000000E+00   1.3742516065467326E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.5158891677871324E-11   4.9639941149622113E-01   0.0000000000000000E+00   4.9763516925110424E-01   5.9404697393003695E-03   2.4944633200603391E-05   4.8450040825336696E-09   1.7867290213272730E-15   4.2661703609137020E-23   2.1600153487505573E-32   2.2942261617063527E-43   3.2739668065003088E-56   3.2489071385487695E-70   0.0000000000000000E+00   2.0838809086826673E-87                      ---                      ---
  25:    1.4012262626283836E+31   1.0974017834780827E+07   3.3082049278968370E+01   2.4849181403424931E+09   6.3588067292159796E+08   1.6346546492297988E+27   1.7542946911601833E+18   8.7794567927324663E-01   0.0000000000000000E+00   1.3742512514144719E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.4763305949313752E-11   4.9639986301599964E-01   0.0000000000000000E+00   4.9763546709050105E-01   5.9397240693470476E-03   2.4940946291611248E-05   4.8430865928021045E-09   1.7857736489204044E-15   4.2630050636066004E-23   2.1580188404048424E-32   2.2916181661154932E-43   3.2697375240998468E-56   3.2449052476355518E-70   0.0000000000000000E+00   2.0817104358308627E-87                      ---                      ---
  26:    1.4957694626029211E+31   1.1220389024828540E+07   3.3810646242637397E+01   2.4796225626296864E+09   6.3507312184444439E+08   1.6299869483348296E+27   1.7528917289567053E+18   8.7797861033509328E-01   0.0000000000000000E+00   1.3742508775308190E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.4348744498495906E-11   4.9640033837742015E-01   0.0000000000000000E+00   4.9763578065118003E-01   5.9389390364423533E-03   2.4937059523642205E-05   4.8410743453980732E-09   1.7847707429705735E-15   4.2596862940742279E-23   2.1559271033160592E-32   2.2888899307975790E-43   3.2653195067137487E-56   3.2407227335340889E-70   0.0000000000000000E+00   2.0794372859576948E-87                      ---                      ---
  27:    1.5996501841471306E+31   1.1479754829234218E+07   3.4578137814935644E+01   2.4739803793954911E+09   6.3421192028975523E+08   1.6250174447711517E+27   1.7513947638252308E+18   8.7801379445266647E-01   0.0000000000000000E+00   1.3742504775042169E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.3907363420221818E-11   4.9640084697837922E-01   0.0000000000000000E+00   4.9763611613126096E-01   5.9380991223591346E-03   2.4932895153868027E-05   4.8389286303646628E-09   1.7837009516498146E-15   4.2561506468444056E-23   2.1537004106721442E-32   2.2859902496977507E-43   3.2606306704094743E-56   3.2362814165569773E-70   0.0000000000000000E+00   2.0770181306213029E-87                      ---                      ---
  28:    1.7157205765521055E+31   1.1757008452538870E+07   3.5399032358766640E+01   2.4678711048730555E+09   6.3327850021509886E+08   1.6196408573914458E+27   1.7497713300834673E+18   8.7805200589798438E-01   0.0000000000000000E+00   1.3742500426873614E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.3430136321297638E-11   4.9640139981344433E-01   0.0000000000000000E+00   4.9763648078149031E-01   5.9371861731706372E-03   2.4928361848995069E-05   4.8366046226045683E-09   1.7825418407757201E-15   4.2523249007986063E-23   2.1512929943803724E-32   2.2828604148740445E-43   3.2555773161326647E-56   3.2314918550230552E-70   0.0000000000000000E+00   2.0744030201025293E-87                      ---                      ---
  29:    1.8476059264908175E+31   1.2057749707813691E+07   3.6289955920433187E+01   2.4611508766748266E+09   6.3225062606488156E+08   1.6137317840169589E+27   1.7479824813178806E+18   8.7809417750368213E-01   0.0000000000000000E+00   1.3742495626975000E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2906407325476630E-11   4.9640201008378682E-01   0.0000000000000000E+00   4.9763688330734790E-01   5.9361783924038103E-03   2.4923349495112862E-05   4.8340490331478845E-09   1.7812667096091506E-15   4.2481222335399644E-23   2.1486507069820088E-32   2.2794312887723542E-43   3.2500495443145499E-56   3.2262488814366992E-70   0.0000000000000000E+00   2.0715327628073908E-87                      ---                      ---
  30:    1.9999999999999630E+31   1.2388541113701591E+07   3.7270411980280990E+01   2.4536439047366352E+09   6.3110104571699452E+08   1.6071373779205217E+27   1.7459803965538378E+18   8.7814145981850844E-01   0.0000000000000000E+00   1.3742490248173601E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.2323360835934554E-11   4.9640269395890974E-01   0.0000000000000000E+00   4.9763733437115898E-01   5.9350490837448786E-03   2.4917722654782530E-05   4.8311972434578000E-09   1.7798431414268987E-15   4.2434376284364323E-23   2.1457081995358138E-32   2.2756198077999387E-43   3.2439158250159564E-56   3.2204262663247839E-70   0.0000000000000000E+00   2.0683357207052723E-87                      ---                      ---
  31:    2.1790790876294910E+31   1.2757206660925770E+07   3.8363668491028854E+01   2.4451315012203193E+09   6.2979574700030184E+08   1.5996680130617767E+27   1.7437052724134938E+18   8.7819529874772562E-01   0.0000000000000000E+00   1.3742484132362467E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.1665390751379998E-11   4.9640347154161424E-01   0.0000000000000000E+00   4.9763784722808396E-01   5.9337650584609589E-03   2.4911312194828724E-05   4.8279697640026827E-09   1.7782312057872054E-15   4.2381422302306797E-23   2.1423854715882763E-32   2.2713247537525063E-43   3.2370164819284739E-56   3.2138702360342043E-70   0.0000000000000000E+00   2.0647238134861439E-87                      ---                      ---
  32:    2.3876492120280019E+31   1.3162910796113437E+07   3.9567317894404411E+01   2.4354734443600540E+09   6.2831251802121341E+08   1.5912040159055102E+27   1.7411176128059231E+18   8.7825667508922622E-01   0.0000000000000000E+00   1.3742477178836543E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.0923813149041492E-11   4.9640435563675134E-01   0.0000000000000000E+00   4.9763843031804617E-01   5.9323051824963875E-03   2.4904007452249440E-05   4.8243192978254513E-09   1.7764069333513341E-15   4.2321606988570193E-23   2.1386364853293961E-32   2.2664897800528813E-43   3.2292651103160862E-56   3.2064954928097544E-70   0.0000000000000000E+00   2.0606449657274684E-87                      ---                      ---
  33:    2.6284136724418553E+31   1.3604033253514983E+07   4.0876591224351827E+01   2.4246354013344665E+09   6.2664521641011965E+08   1.5817194252845731E+27   1.7382057311248660E+18   8.7832592349841954E-01   0.0000000000000000E+00   1.3742469365659522E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   3.0098938031296513E-11   4.9640534903446915E-01   0.0000000000000000E+00   4.9763908547464497E-01   5.9306648611944564E-03   2.4895779340488348E-05   4.8202411034583125E-09   1.7743675358807830E-15   4.2254877711882278E-23   2.1344593225133645E-32   2.2611159158536997E-43   3.2206676946354730E-56   3.1983036207800819E-70   0.0000000000000000E+00   2.0560938821635938E-87                      ---                      ---
  34:    2.9038797845213166E+31   1.4078259907851031E+07   4.2284623232521298E+01   2.4126022962653780E+09   6.2479052286387765E+08   1.5712057956621989E+27   1.7349626957857910E+18   8.7840327613532398E-01   0.0000000000000000E+00   1.3742460688577518E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.9193423713393870E-11   4.9640645227685487E-01   0.0000000000000000E+00   4.9763981304801119E-01   5.9288432135405937E-03   2.4886616648638644E-05   4.8157403129399609E-09   1.7721151033657527E-15   4.2181344085431314E-23   2.1298622716644141E-32   2.2552174044928899E-43   3.2112511469480854E-56   3.1893152321121709E-70   0.0000000000000000E+00   2.0510749127915034E-87                      ---                      ---
  35:    3.2162587678984315E+31   1.4582696748430816E+07   4.3782790564341418E+01   2.3993794344624929E+09   6.2274813437898564E+08   1.5596730798109110E+27   1.7313866849984865E+18   8.7848885328920423E-01   0.0000000000000000E+00   1.3742451162326043E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.8212358765240698E-11   4.9640766349171705E-01   0.0000000000000000E+00   4.9764061179548968E-01   5.9268433460276503E-03   2.4876527709963838E-05   4.8108322248115119E-09   1.7696567689328347E-15   4.2101280797958749E-23   2.1248639010959545E-32   2.2488215219772273E-43   3.2010625817397768E-56   3.1795693245610335E-70   0.0000000000000000E+00   2.0456018993102230E-87                      ---                      ---
  36:    3.5673624784155728E+31   1.5113992143519342E+07   4.5361078280938138E+01   2.3849929666940808E+09   6.2052086591269529E+08   1.5471498837952855E+27   1.7274811943222333E+18   8.7858265675265035E-01   0.0000000000000000E+00   1.3742440821007767E+01   5.0000000000000000E-01      convective    APPROX   0.0000000000000000E+00   0.0000000000000000E+00   0.0000000000000000E+00   2.7163205102647791E-11   4.9640897834449282E-01   0.0000000000000000E+00   4.9764147885032534E-01   5.9246724312838747E-03   2.4865541181688249E-05   4.8055420293282542E-09   1.7670045969087936E-15   4.2015121016394423E-23   2.1194925328056240E-32   2.2419676079382560E-43   3.1901673403837659E-56   3.1691215256468816E-70   0.0000000000000000E+00   2.0396974787670689E-87                      ---                      ---
